make,model,car_type,upcharge_percentage
Acura,CL,Standard,0
Acura,ILX,Standard,0
Acura,Integra,Standard,0
Acura,Legend,Standard,0
Acura,MDX,Standard,0
Acura,MDX Sport Hybrid,Standard,0
Acura,NSX,Standard,0
Acura,RDX,Standard,0
Acura,RL,Standard,0
Acura,RLX,Standard,0
Acura,RLX Sport Hybrid,Standard,0
Acura,RSX,Standard,0
Acura,SLX,Standard,0
Acura,TL,Standard,0
Acura,TLX,Standard,0
Acura,TSX,Standard,0
Acura,Vigor,Standard,0
Acura,ZDX,Standard,0
Alfa Romeo,164,Standard,0
Alfa Romeo,4C,Standard,0
Alfa Romeo,4C Spider,Standard,0
Alfa Romeo,Giulia,Standard,0
Alfa Romeo,Spider,Standard,0
Alfa Romeo,Stelvio,Standard,0
Alfa Romeo,Tonale,Standard,0
Aston Martin,DB11,Standard,0.2
Aston Martin,DB9,Standard,0.2
Aston Martin,DB9 GT,Standard,0.2
Aston Martin,DBS,Standard,0.2
Aston Martin,DBS Superleggera,Standard,0.2
Aston Martin,DBX,Standard,0.2
Aston Martin,Rapide,Standard,0.2
Aston Martin,Rapide S,Standard,0.2
Aston Martin,Vanquish,Standard,0.2
Aston Martin,Vanquish S,Standard,0.2
Aston Martin,Vantage,Standard,0.2
Aston Martin,Virage,Standard,0.2
Audi,100,Standard,0
Audi,80,Standard,0
Audi,90,Standard,0
Audi,A3,Standard,0
Audi,A3 Sportback e-tron,Standard,0
Audi,A4,Standard,0
Audi,A4 (2005.5),Standard,0
Audi,A4 allroad,Standard,0
Audi,A5,Standard,0
Audi,A5 Sport,Standard,0
Audi,A6,Standard,0
Audi,A6 allroad,Standard,0
Audi,A7,Standard,0
Audi,A8,Standard,0
Audi,Cabriolet,Standard,0
Audi,Q3,Standard,0
Audi,Q4 Sportback e-tron,Standard,0
Audi,Q4 e-tron,Standard,0
Audi,Q5,Standard,0
Audi,Q5 Sportback,Standard,0
Audi,Q6 e-tron,Standard,0
Audi,Q7,Standard,0
Audi,Q8,Standard,0
Audi,Q8 Sportback e-tron,Standard,0
Audi,Q8 e-tron,Standard,0
Audi,Quattro,Standard,0
Audi,R8,Standard,0
Audi,RS 3,Standard,0
Audi,RS 4,Standard,0
Audi,RS 5,Standard,0
Audi,RS 6,Standard,0
Audi,RS 7,Standard,0
Audi,RS Q8,Standard,0
Audi,RS e-tron GT,Standard,0
Audi,S3,Standard,0
Audi,S4,Standard,0
Audi,S4 (2005.5),Standard,0
Audi,S5,Standard,0
Audi,S6,Standard,0
Audi,S7,Standard,0
Audi,S8,Standard,0
Audi,SQ5,Standard,0
Audi,SQ5 Sportback,Standard,0
Audi,SQ7,Standard,0
Audi,SQ8,Standard,0
Audi,SQ8 Sportback e-tron,Standard,0
Audi,SQ8 e-tron,Standard,0
Audi,TT,Standard,0
Audi,allroad,Standard,0
Audi,e-tron,Standard,0
Audi,e-tron GT,Standard,0
Audi,e-tron S,Standard,0
Audi,e-tron S Sportback,Standard,0
Audi,e-tron Sportback,Standard,0
BMW,1 Series,Standard,0
BMW,2 Series,Standard,0
BMW,3 Series,Standard,0
BMW,4 Series,Standard,0
BMW,5 Series,Standard,0
BMW,6 Series,Standard,0
BMW,7 Series,Standard,0
BMW,8 Series,Standard,0
BMW,Alpina B7,Standard,0
BMW,M,Standard,0
BMW,M2,Standard,0
BMW,M3,Standard,0
BMW,M4,Standard,0
BMW,M5,Standard,0
BMW,M6,Standard,0
BMW,M8,Standard,0
BMW,X1,Standard,0
BMW,X2,Standard,0
BMW,X3,Standard,0
BMW,X3 M,Standard,0
BMW,X4,Standard,0
BMW,X4 M,Standard,0
BMW,X5,Standard,0
BMW,X5 M,Standard,0
BMW,X6,Standard,0
BMW,X6 M,Standard,0
BMW,X7,Standard,0
BMW,XM,Standard,0
BMW,Z3,Standard,0
BMW,Z4,Standard,0
BMW,Z4 M,Standard,0
BMW,Z8,Standard,0
BMW,i3,Standard,0
BMW,i4,Standard,0
BMW,i5,Standard,0
BMW,i7,Standard,0
BMW,i8,Standard,0
BMW,iX,Standard,0
Bentley,Arnage,Standard,0.2
Bentley,Azure,Standard,0.2
Bentley,Azure T,Standard,0.2
Bentley,Bentayga,Standard,0.2
Bentley,Brooklands,Standard,0.2
Bentley,Continental,Standard,0.2
Bentley,Continental GT,Standard,0.2
Bentley,Flying Spur,Standard,0.2
Bentley,Mulsanne,Standard,0.2
Buick,Cascada,Standard,0
Buick,Century,Standard,0
Buick,Enclave,Standard,0
Buick,Encore,Standard,0
Buick,Encore GX,Standard,0
Buick,Envision,Standard,0
Buick,Envista,Standard,0
Buick,LaCrosse,Standard,0
Buick,LeSabre,Standard,0
Buick,Lucerne,Standard,0
Buick,Park Avenue,Standard,0
Buick,Rainier,Standard,0
