tow_type,service,label,rate,mileage,includes,comment
Light Duty,tow,Tow,125,5,0,
Light Duty,connex,Connex,250,5,0,
Light Duty,ld_equipment,LD Equipment,175,5,0,
Light Duty,motorcycle,Motorcycle,175,5,0,
Light Duty,tool_box,Tool Box,250,5,0,
Light Duty,elec_car_dollies,Elec Car Dollies,375,5,0,
Light Duty,ld_winch/working time,LD Winch/Working Time,175,5,15,
Light Duty,ld_unlock,LD Unlock,85,5,10,
Light Duty,jump_start,Jump Start,85,5,10,
Light Duty,tire_change,Tire Change,85,5,10,
Light Duty,hd_unlock,HD Unlock,175,5,15,
Light Duty,indemnity,Indemnity,175,,,
Light Duty,ld_swap,LD Swap,175,,,
Light Duty,window_film,Window Film,0,20,,
Light Duty,skid_steer_winch_box_off_road,Skid Steer Winch Box (Off Road),750,0,0,change logic and adjust value later
Light Duty,race_ramps,Race Ramps,50,,,
Light Duty,go_jacks,Go Jacks,100,,,
Light Duty,wheel_skates_ball_joint_specialty_tire_tools,Wheel skates/Ball Joint/Specialty tire tools,50,,,
Light Duty,z_wings_w_forklift,Z wings w/ forklift,250,,,
Light Duty,ld_tow_pulling_a_trailer,LD tow pulling a trailer,50,,,
Light Duty,ld_set_in,LD Set In,100,,,
Light Duty,ld_gas_delivery,LD Gas Delivery,85,,,
Light Duty,hd_fuel_delivery,HD Fuel Delivery,300,,,
Light Duty,pti_irondale_to_irondale,PTI - Irondale to Irondale,250,,,
Light Duty,forklift_pallet_jack_swap,Forklift/Pallet Jack swap,175,4,,
Light Duty,penske_ind_forklift_shop_to_shop_in_homewood,Penske IND - Forklift Shop to Shop in Homewood,250,,,
Light Duty,penske_ind_to_stivers_ford,Penske IND to Stivers Ford,175,,,
Medium Duty,tow,Tow,175,,,
Heavy Duty,tow,Tow,175,15,5,
